,page_id,text,time,reactions,url
21,هوا سبورت - Hawa sport,"جووووووووول
فينالدوووم يسجل الأول للطواحين الهولندية
هولندا 1
اوكرانيا 0",١٥ ساعة,تفاعل ‏١٫١ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏١٫١ ألف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏١٤‏ من الأشخاص مع ‏أحببته‏;تفاعل شخص واحد مع ‏هاهاها‏;تفاعل شخص واحد مع ‏أدعمه‏,https://touch.facebook.com/story.php?story_fbid=2957550494532507&id=1443089249311980&anchor_composer=false
22,هوا سبورت - Hawa sport,نهاية الشوط الأول بين هولندا واوكرانيا بالتعادل السلبي,١٥ ساعة,تفاعل ‏٦٨٨‏ من الأشخاص مع هذا المنشور;تفاعل ‏٦٨٧‏ من الأشخاص مع ‏أعجبني‏;تفاعل شخص واحد مع ‏أحببته‏,https://touch.facebook.com/story.php?story_fbid=2957533574534199&id=1443089249311980&anchor_composer=false
23,هوا سبورت - Hawa sport,"بداية المباراة 🔥
هولندا ** اوكرانيا",١٦ ساعة,تفاعل ‏٥٩١‏ من الأشخاص مع هذا المنشور;تفاعل ‏٥٨٨‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٣‏ من الأشخاص مع ‏أحببته‏,https://touch.facebook.com/story.php?story_fbid=2957499987870891&id=1443089249311980&anchor_composer=false
24,هوا سبورت - Hawa sport,"نهاية المباراة بفوز منتخب #النمسا على منتخب #مقدونيا بثلاثة أهداف مقابل هدف من الجولة الأولى للمجموعة ج..
#EURO2020
#hawa_sport",١٧ ساعة,تفاعل ‏٧٧٢‏ من الأشخاص مع هذا المنشور;تفاعل ‏٧٦٥‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٦‏ من الأشخاص مع ‏أحببته‏;تفاعل شخص واحد مع ‏أدعمه‏,https://touch.facebook.com/story.php?story_fbid=2957443457876544&id=1443089249311980&anchor_composer=false
25,هوا سبورت - Hawa sport,هولندا V أوكرانيا - التشكيلة الرسمية للفريقين:,١٧ ساعة,تفاعل ‏٤٦٥‏ من الأشخاص مع هذا المنشور;تفاعل ‏٤٦٠‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٥‏ من الأشخاص مع ‏أحببته‏,https://touch.facebook.com/story.php?story_fbid=2957440007876889&id=1443089249311980&anchor_composer=false
26,هوا سبورت - Hawa sport,بطل العالم الصربي نوفاك جوكوفيتش يُتوج بلقب رولان غاروس بعد فوزه على اليوناني ستيفانوس تسيتسيباس بثلاث مجموعات لمجموعتين جاءت تفاصيلها 7/6 6/2 6/3 6/2 6/4.🔥💪👏,١٨ ساعة,تفاعل ‏٧٨٩‏ من الأشخاص مع هذا المنشور;تفاعل ‏٧٠٣‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٧٩‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٤‏ من الأشخاص مع ‏أدعمه‏;تفاعل شخص واحد مع ‏واااو‏;تفاعل شخص واحد مع ‏أحزنني‏;تفاعل شخص واحد مع ‏أغضبني‏,https://touch.facebook.com/story.php?story_fbid=2957430537877836&id=1443089249311980&anchor_composer=false
27,هوا سبورت - Hawa sport,نهاية المباراة,٢٠ ساعة,تفاعل ‏٨٢٥‏ من الأشخاص مع هذا المنشور;تفاعل ‏٨٠٤‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏١٦‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٤‏ من الأشخاص مع ‏أحزنني‏;تفاعل شخص واحد مع ‏واااو‏,https://touch.facebook.com/story.php?story_fbid=2957294857891404&id=1443089249311980&anchor_composer=false
28,هوا سبورت - Hawa sport,"جووووووووول رحيم ستيرلينغ يسجل الأول لمنتخب الأسود الثلاثة 🔥🔥🔥🔥
انجلترا 1
كرواتيا 0",٢١ ساعة,تفاعل ‏١٫٩ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏١٫٩ ألف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏١٨‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٤‏ من الأشخاص مع ‏أحزنني‏;تفاعل ‏٢‏ من الأشخاص مع ‏هاهاها‏,https://touch.facebook.com/story.php?story_fbid=2957261314561425&id=1443089249311980&anchor_composer=false
29,هوا سبورت - Hawa sport,بداية الشوط الثاني | انجلترا 0 × 0 كرواتيا .,٢١ ساعة,تفاعل ‏٥١١‏ من الأشخاص مع هذا المنشور;تفاعل ‏٥٠٩‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٢‏ من الأشخاص مع ‏أحببته‏,https://touch.facebook.com/story.php?story_fbid=2957249464562610&id=1443089249311980&anchor_composer=false
30,هوا سبورت - Hawa sport,نهاية الشوط الأول | انجلترا 0 × 0 كرواتيا .,٢١ ساعة,تفاعل ‏٤١٧‏ من الأشخاص مع هذا المنشور;تفاعل ‏٤١٣‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٤‏ من الأشخاص مع ‏أحببته‏,https://touch.facebook.com/story.php?story_fbid=2957237227897167&id=1443089249311980&anchor_composer=false
